imageUrl,projectTitle,capacityDetails,clientName
https://images.unsplash.com/photo-1581092918056-0c4c3acd3789?w=800&h=600&fit=crop,Oil Filtration Works - Contractual Service,Oil Filtration Works within Peninsular Malaysia and East Malaysia,MTM-TNB
https://images.unsplash.com/photo-1581092163562-40f08e78bbf7?w=800&h=600&fit=crop,45MVA Transformer Installation - Multiple Locations,Installation of 3 units 45MVA 132/33kV ABB Transformers,MN Power
https://images.unsplash.com/photo-1581092916550-e323b3c69d4d?w=800&h=600&fit=crop,130MVA Transformer Installation,Installation of 1 unit 130MVA 132/33kV Daihen Transformer,MN Power
https://images.unsplash.com/photo-1581092163562-40f08e78bbf7?w=800&h=600&fit=crop,TNB Pasir Gudang Power Plant - Substation Design & Build,Design and build 2x500kVA 22/0.415kV electrical substation,TNB Remaco – TNB Generation
https://images.unsplash.com/photo-1581092918056-0c4c3acd3789?w=800&h=600&fit=crop,Robinson Falls Power Plant - Transformer Supply,Supply install testing and commissioning 3 units Step-up Transformer,TNB Generation
https://images.unsplash.com/photo-1581092916550-e323b3c69d4d?w=800&h=600&fit=crop,240MVA Ultra-High Capacity Transformer Installation,Installation of 1 Unit 240MVA 275/132kV CG Power Transformer,TSG
https://images.unsplash.com/photo-1581092163562-40f08e78bbf7?w=800&h=600&fit=crop,Installation Testing and Commissioning of Transformer,Sept 2024,GDS Nusajaya
https://images.unsplash.com/photo-1581092918056-0c4c3acd3789?w=800&h=600&fit=crop,Installation Testing and Commissioning of Transformer,Sept 2025,GDS Nusajaya
https://images.unsplash.com/photo-1581092916550-e323b3c69d4d?w=800&h=600&fit=crop,Installation Testing and Commissioning of Transformer,Jul 2025,GDS Nusajaya
https://images.unsplash.com/photo-1581092163562-40f08e78bbf7?w=800&h=600&fit=crop,Power Transformer Repair & Refurbishment Service,Aug 2022,TNB
https://images.unsplash.com/photo-1581092918056-0c4c3acd3789?w=800&h=600&fit=crop,Power Transformer Repair & Refurbishment Service,Aug 2022,TNB
https://images.unsplash.com/photo-1581092916550-e323b3c69d4d?w=800&h=600&fit=crop,Inspection Internal Active Part Transformer - Untanking,Apr 2026,TNB
